"Alt" "Sex" "Age" "Method" "OT" "ANT" "Offset" "Hunter" "Month" "MonthCalendar" "Year"
"1" "4" "F" "A" "Trampa" 0 8 2 "HUNT1" 15 12 2011
"2" "4" "M" "A" "Trampa" 0 7 2 "HUNT1" 15 12 2011
"3" "4" "M" "A" "Trampa" 1 3 2 "HUNT1" 17 3 2012
"4" "3" "M" "A" "Trampa" 0 0 2 "HUNT1" 17 3 2012
"5" "4" "F" "A" "Trampa" 0 3 2 "HUNT1" 17 3 2012
"6" "3" "F" "A" "Trampa" 0 0 2 "HUNT1" 17 3 2012
"7" "4" "M" "Y" "Trampa" 0 0 2 "HUNT1" 17 3 2012
"8" "3" "M" "Y" "Trampa" 0 0 2 "HUNT1" 17 3 2012
"9" "4" "F" "Y" "Trampa" 0 3 2 "HUNT1" 17 3 2012
"10" "3" "F" "Y" "Trampa" 0 0 2 "HUNT1" 17 3 2012
"11" "4" "M" "A" "Escopeta" 0 0 2 "HUNT1" 17 3 2012
"12" "3" "M" "A" "Escopeta" 0 2 2 "HUNT1" 17 3 2012
"13" "4" "F" "A" "Escopeta" 0 0 2 "HUNT1" 17 3 2012
"14" "3" "F" "A" "Escopeta" 0 5 2 "HUNT1" 17 3 2012
"15" "4" "M" "Y" "Escopeta" 0 0 2 "HUNT1" 17 3 2012
"16" "3" "M" "Y" "Escopeta" 0 0 2 "HUNT1" 17 3 2012
"17" "4" "F" "Y" "Escopeta" 0 0 2 "HUNT1" 17 3 2012
"18" "3" "F" "Y" "Escopeta" 0 0 2 "HUNT1" 17 3 2012
"19" "4" "F" "A" "Escopeta" 0 11 4 "HUNT1" 18 4 2012
"20" "3" "F" "A" "Escopeta" 0 1 4 "HUNT1" 18 4 2012
"21" "4" "M" "A" "Escopeta" 0 7 4 "HUNT1" 18 4 2012
"22" "3" "M" "A" "Escopeta" 0 3 4 "HUNT1" 18 4 2012
"23" "4" "F" "Y" "Escopeta" 0 2 4 "HUNT1" 18 4 2012
"24" "3" "F" "Y" "Escopeta" 0 2 4 "HUNT1" 18 4 2012
"25" "4" "M" "Y" "Escopeta" 0 0 4 "HUNT1" 18 4 2012
"26" "3" "M" "Y" "Escopeta" 0 0 4 "HUNT1" 18 4 2012
"27" "4" "F" "A" "Trampa" 0 4 1 "HUNT1" 20 6 2012
"28" "4" "M" "A" "Trampa" 0 5 1 "HUNT1" 20 6 2012
"29" "4" "F" "Y" "Escopeta" 1 0 1 "HUNT1" 21 7 2012
"30" "4" "M" "Y" "Escopeta" 0 0 1 "HUNT1" 21 7 2012
"31" "4" "F" "A" "Escopeta" 0 3 1 "HUNT1" 21 7 2012
"32" "4" "M" "A" "Escopeta" 0 2 1 "HUNT1" 21 7 2012
"33" "4" "F" "A" "Trampa" 0 12 4 "HUNT1" 22 8 2012
"34" "2" "F" "A" "Trampa" 0 0 4 "HUNT1" 22 8 2012
"35" "3" "F" "A" "Trampa" 0 0 4 "HUNT1" 22 8 2012
"36" "4" "M" "A" "Trampa" 0 6 4 "HUNT1" 22 8 2012
"37" "2" "M" "A" "Trampa" 0 0 4 "HUNT1" 22 8 2012
"38" "3" "M" "A" "Trampa" 0 0 4 "HUNT1" 22 8 2012
"39" "4" "F" "A" "Escopeta" 0 0 4 "HUNT1" 22 8 2012
"40" "2" "F" "A" "Escopeta" 3 1 4 "HUNT1" 22 8 2012
"41" "3" "F" "A" "Escopeta" 1 4 4 "HUNT1" 22 8 2012
"42" "4" "M" "A" "Escopeta" 0 0 4 "HUNT1" 22 8 2012
"43" "2" "M" "A" "Escopeta" 1 0 4 "HUNT1" 22 8 2012
"44" "3" "M" "A" "Escopeta" 1 2 4 "HUNT1" 22 8 2012
"45" "4" "F" "A" "Escopeta" 0 11 2 "HUNT1" 23 10 2012
"46" "4" "M" "A" "Escopeta" 0 6 2 "HUNT1" 23 10 2012
"47" "3" "F" "A" "Escopeta" 0 6 1 "HUNT1" 24 11 2012
"48" "3" "M" "A" "Escopeta" 0 1 1 "HUNT1" 24 11 2012
"49" "4" "F" "A" "Escopeta" 0 7 1 "HUNT1" 25 12 2012
"50" "4" "M" "A" "Escopeta" 0 0 1 "HUNT1" 25 12 2012
"51" "4" "F" "Y" "Escopeta" 0 1 1 "HUNT1" 25 12 2012
"52" "4" "M" "Y" "Escopeta" 0 2 1 "HUNT1" 25 12 2012
"53" "4" "F" "A" "Escopeta" 0 5 1 "HUNT1" 27 3 2013
"54" "4" "M" "A" "Escopeta" 0 2 1 "HUNT1" 27 3 2013
"55" "4" "M" "A" "Trampa" 0 1 1 "HUNT1" 29 5 2013
"56" "4" "F" "A" "Trampa" 0 4 2 "HUNT1" 31 7 2013
"57" "5" "F" "A" "Trampa" 0 1 2 "HUNT1" 31 7 2013
"58" "4" "M" "A" "Trampa" 1 1 2 "HUNT1" 31 7 2013
"59" "5" "M" "A" "Trampa" 0 0 2 "HUNT1" 31 7 2013
"60" "4" "F" "A" "Escopeta" 0 0 2 "HUNT1" 31 7 2013
"61" "5" "F" "A" "Escopeta" 0 0 2 "HUNT1" 31 7 2013
"62" "4" "M" "A" "Escopeta" 0 0 2 "HUNT1" 31 7 2013
"63" "5" "M" "A" "Escopeta" 1 0 2 "HUNT1" 31 7 2013
"64" "3" "F" "A" "Trampa" 0 7 2 "HUNT1" 32 8 2013
"65" "4" "F" "A" "Trampa" 0 0 2 "HUNT1" 32 8 2013
"66" "3" "M" "A" "Trampa" 0 1 2 "HUNT1" 32 8 2013
"67" "4" "M" "A" "Trampa" 0 0 2 "HUNT1" 32 8 2013
"68" "3" "F" "Y" "Trampa" 0 1 2 "HUNT1" 32 8 2013
"69" "4" "F" "Y" "Trampa" 0 0 2 "HUNT1" 32 8 2013
"70" "3" "M" "Y" "Trampa" 0 1 2 "HUNT1" 32 8 2013
"71" "4" "M" "Y" "Trampa" 0 0 2 "HUNT1" 32 8 2013
"72" "3" "F" "A" "Escopeta" 0 0 2 "HUNT1" 32 8 2013
"73" "4" "F" "A" "Escopeta" 0 5 2 "HUNT1" 32 8 2013
"74" "3" "M" "A" "Escopeta" 0 0 2 "HUNT1" 32 8 2013
"75" "4" "M" "A" "Escopeta" 0 3 2 "HUNT1" 32 8 2013
"76" "3" "F" "Y" "Escopeta" 0 0 2 "HUNT1" 32 8 2013
"77" "4" "F" "Y" "Escopeta" 0 1 2 "HUNT1" 32 8 2013
"78" "3" "M" "Y" "Escopeta" 0 0 2 "HUNT1" 32 8 2013
"79" "4" "M" "Y" "Escopeta" 0 0 2 "HUNT1" 32 8 2013
"80" "6" "F" "A" "Trampa" 0 2 1 "HUNT2" 1 8 2010
"81" "6" "M" "A" "Trampa" 0 3 1 "HUNT2" 1 8 2010
"82" "6" "F" "A" "Trampa" 2 0 1 "HUNT2" 3 10 2010
"83" "1" "F" "A" "Trampa" 0 1 1 "HUNT2" 7 4 2011
"84" "1" "M" "A" "Trampa" 1 1 1 "HUNT2" 7 4 2011
"85" "6" "F" "A" "Trampa" 0 5 2 "HUNT2" 9 6 2011
"86" "6" "M" "A" "Trampa" 0 5 2 "HUNT2" 9 6 2011
"87" "6" "F" "Y" "Trampa" 0 0 2 "HUNT2" 9 6 2011
"88" "6" "M" "Y" "Trampa" 0 0 2 "HUNT2" 9 6 2011
"89" "6" "F" "A" "Escopeta" 0 3 2 "HUNT2" 9 6 2011
"90" "6" "M" "A" "Escopeta" 0 3 2 "HUNT2" 9 6 2011
"91" "6" "F" "Y" "Escopeta" 0 0 2 "HUNT2" 9 6 2011
"92" "6" "M" "Y" "Escopeta" 0 1 2 "HUNT2" 9 6 2011
"93" "6" "F" "A" "Trampa" 0 5 1 "HUNT2" 15 12 2011
"94" "6" "M" "A" "Trampa" 0 4 1 "HUNT2" 15 12 2011
"95" "3" "F" "A" "Escopeta" 0 7 2 "HUNT2" 17 3 2012
"96" "1" "F" "A" "Escopeta" 0 6 2 "HUNT2" 17 3 2012
"97" "3" "M" "A" "Escopeta" 0 1 2 "HUNT2" 17 3 2012
"98" "1" "M" "A" "Escopeta" 0 2 2 "HUNT2" 17 3 2012
"99" "6" "F" "A" "Trampa" 0 2 1 "HUNT6" 3 10 2010
"100" "6" "M" "A" "Trampa" 0 2 1 "HUNT6" 3 10 2010
"101" "6" "F" "A" "Trampa" 0 9 1 "HUNT6" 12 9 2011
"102" "5" "F" "A" "Trampa" 2 3 1 "HUNT6" 20 6 2012
"103" "5" "M" "A" "Trampa" 0 5 1 "HUNT6" 20 6 2012
"104" "5" "F" "A" "Trampa" 2 5 1 "HUNT6" 21 7 2012
"105" "5" "M" "A" "Trampa" 0 3 1 "HUNT6" 21 7 2012
"106" "5" "F" "A" "Trampa" 2 2 1 "HUNT6" 23 10 2012
"107" "5" "M" "A" "Trampa" 0 3 1 "HUNT6" 23 10 2012
"108" "5" "F" "A" "Trampa" 0 5 1 "HUNT6" 24 11 2012
"109" "5" "F" "Y" "Trampa" 0 3 1 "HUNT6" 24 11 2012
"110" "6" "F" "Y" "Trampa" 1 2 2 "HUNT6" 31 7 2013
"111" "6" "M" "Y" "Trampa" 0 0 2 "HUNT6" 31 7 2013
"112" "6" "F" "A" "Trampa" 0 1 2 "HUNT6" 31 7 2013
"113" "6" "M" "A" "Trampa" 0 6 2 "HUNT6" 31 7 2013
"114" "6" "M" "A" "Trampa" 0 2 1 "HUNT6" 33 9 2013
"115" "6" "F" "A" "Trampa" 0 3 1 "HUNT6" 33 9 2013
"116" "7" "F" "A" "Trampa" 0 3 1 "HUNT7" 3 10 2010
"117" "7" "M" "A" "Trampa" 0 2 1 "HUNT7" 3 10 2010
"118" "7" "F" "Y" "Trampa" 1 1 1 "HUNT7" 26 2 2013
"119" "7" "M" "Y" "Trampa" 0 0 1 "HUNT7" 26 2 2013
"120" "7" "F" "A" "Trampa" 2 2 1 "HUNT7" 26 2 2013
"121" "7" "M" "A" "Trampa" 0 1 1 "HUNT7" 26 2 2013
"122" "7" "F" "Y" "Trampa" 1 0 2 "HUNT7" 27 3 2013
"123" "7" "M" "Y" "Trampa" 0 1 2 "HUNT7" 27 3 2013
"124" "7" "F" "A" "Trampa" 0 5 2 "HUNT7" 27 3 2013
