#------------------------------------------------------------------------------------------
# experimento em casa de vegetação com a cultura da soja, 2 plantas por parcela
# com 3 níveis do fator conteúdo de do solo água (agua), 5 níveis do fator adubação
# potássica (potassio), com parcelas arranjadas em 5 blocos (bloco).
# foram observadas variáveis métricas:
# rengrao: redimento de grãos;
# pesograo: peso de grãos;
# kgrao: conteúdo de potássio no grão;
# pgrao: conteúdo de fósforo no grão;
# ts: total de sementes por planta;
# nvi: número de vagens inviáveis;
# nv: número de vagens total;
# experimento conduzido na Universidade Federal da Grande Dourados pelo acadêmico
# de Agronomia (na época) Fábio Benedito Ono.
#------------------------------------------------------------------------------------------
potassio	agua	bloco	rengrao	pesograo	kgrao	pgrao	ts	nvi	nv
0	37,5	I	14,55	10,7	15,13	1,18	136	22	56
30	37,5	I	21,51	13,53	17,12	0,99	159	2	62
60	37,5	I	24,62	15,78	19,11	0,82	156	0	66
120	37,5	I	21,88	12,8	18,12	0,85	171	2	68
180	37,5	I	28,11	14,79	19,11	0,88	190	0	82
0	50	I	17,16	12,26	12,14	1,05	140	20	63
30	50	I	24,44	12,66	13,63	1,08	193	6	86
60	50	I	28,5	14,25	17,12	0,74	200	6	94
120	50	I	32,94	15,84	19,11	1,01	208	7	86
180	50	I	28,76	12,45	21,1	1,01	237	10	97
0	62,5	I	14,13	10,7	13,14	1,18	132	23	58
30	62,5	I	19,71	11,07	17,62	1,18	178	10	80
60	62,5	I	31,05	13,44	15,13	1,08	231	5	99
120	62,5	I	38,35	14,15	18,12	1,05	271	0	110
180	62,5	I	36,97	14,11	20,11	1,14	262	1	106
0	37,5	II	15,72	13,1	13,14	1,08	120	22	48
30	37,5	II	19,72	13,51	17,62	1,05	146	0	64
60	37,5	II	24,29	15,28	17,62	0,79	159	1	62
120	37,5	II	25,39	16,7	20,61	0,87	152	0	60
180	37,5	II	28,45	17,89	21,1	0,99	159	0	62
0	50	II	15,44	12,45	14,13	0,98	124	12	52
30	50	II	28,12	11,77	14,63	1,16	239	9	103
60	50	II	31,49	12,7	19,11	0,95	248	4	103
120	50	II	29,95	15,76	21,1	1,14	190	1	87
180	50	II	30,06	12,53	21,1	1,05	240	4	101
0	62,5	II	15,42	11,01	13,14	1,18	140	14	64
30	62,5	II	23,68	14,18	14,13	1,08	167	7	77
60	62,5	II	33,27	14,04	23,1	1,18	237	3	96
120	62,5	II	36,63	15,26	18,61	1,11	240	1	94
180	62,5	II	41,04	16,55	19,61	1,14	248	0	105
0	37,5	III	12,77	12,05	15,13	1,25	106	4	44
30	37,5	III	20,45	13,03	16,62	1,01	157	3	63
60	37,5	III	24,35	11,94	18,61	0,93	204	1	84
120	37,5	III	27,15	16,07	20,11	0,85	169	0	66
180	37,5	III	24,08	16,38	20,61	1	147	1	58
0	50	III	16,01	12,04	13,63	1,21	133	22	56
30	50	III	24,57	12,35	16,12	1	199	7	81
60	50	III	28,85	13,67	20,61	0,85	211	3	92
120	50	III	26,23	11,76	18,61	0,99	223	7	91
180	50	III	26,36	10,1	21,6	0,91	261	5	100
0	62,5	III	16,08	12,56	14,13	1,18	128	21	50
30	62,5	III	20,99	12,86	16,62	1,21	164	9	71
60	62,5	III	30,45	14,1	17,62	1,14	216	3	94
120	62,5	III	36,83	17,13	15,13	1,11	215	2	89
180	62,5	III	34,6	15,18	21,1	1,18	228	2	89
0	37,5	IV	14,26	11,41	14,13	1,14	125	11	60
30	37,5	IV	23,71	12,82	14,63	1,01	185	7	75
60	37,5	IV	22,76	14,31	13,14	1,25	159	1	67
120	37,5	IV	22,46	12,76	22,1	0,85	176	2	76
180	37,5	IV	22,97	14,92	22,1	1,05	154	1	63
0	50	IV	15,54	11,68	12,64	1,04	133	27	51
30	50	IV	18,48	12,4	20,11	0,85	149	4	60
60	50	IV	25,54	15,02	19,11	0,75	170	1	67
120	50	IV	30,29	14,09	17,62	1,03	215	2	90
180	50	IV	30,64	16,47	21,1	1,14	186	4	80
0	62,5	IV	17,26	11,74	12,64	1,21	147	18	62
30	62,5	IV	20,51	13,32	15,63	1,28	154	10	67
60	62,5	IV	24,47	13,67	17,12	1,25	179	2	75
120	62,5	IV	34,52	15,07	21,1	1,14	229	0	90
180	62,5	IV	37,62	17,42	22,6	1,14	216	1	87
0	37,5	V	10,3	11,2	17,62	1,28	92	5	36
30	37,5	V	16,28	12,24	19,11	1,18	133	5	57
60	37,5	V	23,61	16,99	20,11	0,95	139	2	53
120	37,5	V	29,66	17,87	17,12	0,85	166	0	69
180	37,5	V	23,34	18,23	21,6	1,08	128	1	50
0	50	V	14,41	11	13,63	0,93	131	26	57
30	50	V	17,24	11,49	20,61	1,25	150	1	61
60	50	V	29,08	13,34	19,11	0,9	218	4	92
120	50	V	29,52	12,51	18,61	0,99	236	1	96
180	50	V	27,98	10,72	21,1	0,93	261	4	110
0	62,5	V	17,56	11,71	10,65	1,18	150	17	69
30	62,5	V	20,05	12,85	18,61	1,28	156	13	63
60	62,5	V	29,9	13,91	18,61	1,25	215	3	95
120	62,5	V	20,86	16,3	20,11	1,13	128	0	55
180	62,5	V	35,5	17,07	21,1	1,15	208	2	90

